,baseline,extended,value,rec,value_rps,mkt_filter,market,mkt_timing_20,mkt_timing_60,mkt_timing_dual
2020-09-07,125772,103491,89775,92941,89775,91453,120860,112738,99325,101439
2020-09-08,126117,105947,90813,94799,90813,94075,121042,113772,100236,102370
2020-09-09,126345,102459,90533,93633,90533,91857,116756,113772,97643,102370
2020-09-10,110960,98988,89925,91847,89925,91526,113945,113772,97643,102370
2020-09-11,109898,97939,89668,91262,89668,91251,116561,113772,97643,102370
2020-09-14,119754,98147,89694,91064,89694,91273,118159,113772,99189,102370
2020-09-15,115526,97801,89825,90808,89825,91407,119247,113772,99518,102370
2020-09-16,116665,97111,90273,91447,90273,91867,118939,113772,98961,102370
2020-09-17,116084,96680,89976,91026,89976,91563,119991,113772,99368,102370
2020-09-18,116267,97971,91451,92493,91451,93076,121737,113772,100618,102370
2020-09-21,115100,97535,90920,91797,90920,92529,121301,113772,100400,102370
2020-09-22,110942,95561,90206,90084,90206,91796,119947,113772,100400,102370
2020-09-23,112187,95516,89815,90102,89815,91395,121759,113772,101144,102370
2020-09-24,106318,92016,88790,88169,88790,88658,118971,113772,101144,102370
2020-09-25,105779,90099,88504,88225,88504,87735,118077,113772,101144,102370
2020-09-28,104720,88655,88748,89129,88748,88126,116766,113772,101144,102370
2020-09-29,105626,89369,88437,89178,88437,87726,117914,113772,101144,102370
2020-09-30,105933,88990,88158,87826,88158,86459,118147,113772,101144,102370
2020-10-09,108714,90351,88714,88980,88714,87669,121883,113772,101144,102370
2020-10-12,111338,91666,90265,90200,90265,89195,125763,117201,104192,102370
2020-10-13,110599,91771,89815,90026,89815,88738,126794,117632,104575,102370
2020-10-14,110094,91475,89451,89706,89451,88374,126464,117054,104062,102370
2020-10-15,106381,91404,89671,90296,89671,88594,125335,116226,103325,102370
2020-10-16,108758,91463,90316,91395,90316,89268,125241,116292,103385,102370
2020-10-19,109728,90446,90334,91038,90334,88031,123993,115681,102841,102370
2020-10-20,109723,90826,89791,90963,89791,88199,125690,116912,103935,102370
2020-10-21,108014,90826,90741,90953,90741,87755,124237,115624,103935,102370
2020-10-22,108463,90096,90510,90234,90510,87391,123600,115250,103935,102370
2020-10-23,106942,90548,90930,90616,90930,87588,120746,115250,103935,102370
2020-10-26,106319,89351,90015,89207,90015,86426,121448,115250,103935,102370
2020-10-27,104912,89146,89321,88749,89321,86074,122297,115250,103935,102370
2020-10-28,106052,88930,88797,88188,88797,86261,123065,115250,103935,102370
2020-10-29,105333,89071,88488,87836,88488,86294,123202,115250,103935,102370
2020-10-30,103607,88004,87648,86463,87648,84963,120761,115250,103935,102370
2020-11-02,104881,90144,87373,87397,87373,86403,121424,115250,103935,102370
2020-11-03,103829,89922,88257,88179,88257,86707,123790,115250,103935,102370
2020-11-04,102686,90928,88314,88477,88314,87130,123807,115250,103935,102370
2020-11-05,105708,93087,89003,90192,89003,89436,126097,117261,103935,102370
2020-11-06,101815,93489,88985,90082,88985,89241,124555,117261,103935,102370
2020-11-09,104115,96492,89776,92035,89776,91089,128145,119858,106237,102370
2020-11-10,102784,96158,89403,91891,89403,91456,126571,118784,105285,102370
2020-11-11,101512,94900,90407,92471,90407,91329,123862,118784,105285,102370
2020-11-12,103914,95522,89707,92599,89707,92340,124166,118784,105285,102370
2020-11-13,103151,94345,88724,91190,88724,91370,124526,118821,105285,102370
2020-11-16,106861,97376,89487,93660,89487,93758,125339,120086,106405,102370
2020-11-17,107496,99015,90189,93996,90189,94674,123920,119304,106405,102370
2020-11-18,110330,99234,90933,93903,90933,95222,123687,119799,106847,102370
2020-11-19,108065,97370,90874,93154,90874,94108,124530,120162,107170,102370
2020-11-20,106138,98113,90585,93762,90585,94518,125308,120864,107797,102370
2020-11-23,108221,99060,91533,95815,91533,96198,125560,121296,108182,102370
2020-11-24,107626,98942,91303,95218,91303,95510,125538,121250,108141,102370
2020-11-25,105343,96922,90763,93991,90763,93831,123387,119657,106720,102370
2020-11-26,105016,95937,91110,93923,91110,93686,122716,119657,106720,102370
2020-11-27,103281,95317,92909,94343,92909,95111,122760,119657,106720,102370
2020-11-30,104357,94961,92355,93569,92355,94554,122428,119657,106720,102370
2020-12-01,105362,95856,94000,94526,94000,96228,124466,121226,108120,103712
2020-12-02,104577,95465,93722,94591,93722,95947,124698,121507,108370,103952
2020-12-03,102443,93544,93738,92722,93738,95949,124667,121242,108134,103726
2020-12-04,98448,91286,92737,90834,92737,93949,125520,121509,108372,103954
2020-12-07,100313,90689,91541,89294,91541,92829,125461,120918,107845,103449
2020-12-08,97639,89233,91057,88495,91057,91433,125532,120918,107618,103449
2020-12-09,96903,89066,90688,88512,90688,91296,123284,120918,107618,103449
2020-12-10,93556,88266,90618,87814,90618,90630,123711,120918,107618,103449
2020-12-11,91654,87014,89752,86061,88394,89404,122107,120918,107618,103449
2020-12-14,93122,86423,89715,84143,86447,89367,123847,120918,107618,103449
2020-12-15,93757,86462,89099,84108,86170,88751,123992,120918,107618,103449
2020-12-16,93756,86349,88953,83476,85949,88605,123070,120918,107618,103449
2020-12-17,92857,87750,89296,85360,87376,89186,124170,120918,107618,103449
2020-12-18,93459,89035,89114,86620,90231,89646,123284,120918,107618,103449
2020-12-21,96817,90169,89006,87622,91674,91135,125262,120918,107618,103449
2020-12-22,96946,89294,87678,86085,88490,89593,122919,120918,107618,103449
2020-12-23,98939,91596,87628,88255,90808,92037,123430,120918,107618,103449
2020-12-24,97073,90620,87143,88455,92582,92288,121229,120918,107618,103449
2020-12-25,96792,93548,87540,92053,96121,92265,122202,120918,107618,103449
2020-12-28,99332,95175,87024,92707,97430,91719,120939,120918,107618,103449
2020-12-29,94395,90429,87283,89298,94121,91995,120195,120918,107618,103449
2020-12-30,94883,91086,87402,90139,95254,92119,121421,120918,107618,103449
2020-12-31,96061,91005,87985,89570,95019,92720,123855,120918,107618,103449
2021-01-04,97581,91699,87408,88515,97050,93971,126437,122788,107618,103449
2021-01-05,95535,92124,87190,87995,94733,92348,127543,122804,107618,103449
2021-01-06,95398,92779,87786,88953,95206,94010,126422,122804,107618,103449
2021-01-07,93849,92345,87121,87818,95008,93582,124568,122804,107618,103449
2021-01-08,94471,91415,87412,87686,94611,93039,123527,122804,107618,103449
2021-01-11,92191,90583,86517,85498,91231,91643,121718,122804,107618,103449
2021-01-12,93511,91939,86961,87812,92886,93522,123520,122804,107618,103449
2021-01-13,93215,92694,87411,88988,93916,94654,121900,122804,107618,103449
2021-01-14,90610,91024,88438,89136,93023,93662,121907,122804,107618,103449
2021-01-15,90297,90412,88503,88301,92636,92405,122838,122804,107618,103449
2021-01-18,92090,90681,88568,88161,93366,92821,124967,122804,107618,103449
2021-01-19,92274,90000,89437,88172,93220,92049,124182,122804,107618,103449
2021-01-20,92470,89688,88508,87430,93082,91511,125966,123290,107618,103449
2021-01-21,92591,89550,88370,87566,94138,91708,127315,124135,107618,103449
2021-01-22,91330,87699,86963,85990,92433,90377,127834,122978,107618,103449
2021-01-25,90197,87478,86445,84833,92254,90075,127472,122978,107618,103449
2021-01-26,90621,87288,86472,85296,93006,90293,125539,122978,107618,103449
2021-01-27,90036,87470,86633,85380,93434,90305,125396,122978,107618,103449
2021-01-28,87663,85195,85905,83492,91901,87976,122545,122978,107618,103449
2021-01-29,85964,83642,85836,82073,91460,86683,121214,122978,107618,103449
2021-02-01,85303,84619,86354,82240,92340,86980,122392,122978,107618,103449
2021-02-02,84623,83355,85825,81351,91666,86451,123769,122978,107618,103449
2021-02-03,85282,82699,85150,81026,91761,85776,122175,122978,107618,103449
2021-02-04,83095,82115,84898,80986,91839,85524,120619,122978,107618,103449
2021-02-05,81163,82967,86316,82900,92572,86942,118944,122978,107618,103449
2021-02-08,80328,82340,86042,82523,92320,86670,119905,122978,107618,103449
2021-02-09,81837,82735,86534,82458,92708,87163,122869,122978,107618,103449
2021-02-10,81651,82031,86441,81937,92859,87070,124765,122978,107618,103449
2021-02-18,82948,83966,87684,83473,94487,88315,125052,122978,107618,103449
2021-02-19,83974,84784,89511,84114,95072,90145,126017,126180,107618,103449
2021-02-22,82586,85013,90113,86102,95551,90489,123691,127188,107618,103449
2021-02-23,82015,84433,89542,84082,94954,90245,123160,126481,107618,103449
2021-02-24,80587,83211,89132,83565,93220,89167,121189,126298,107618,103449
2021-02-25,79277,83765,91237,84179,95056,89326,120421,125483,107618,103449
2021-02-26,77658,82080,89332,82329,92768,88127,118965,124955,107618,103449
