,baseline,extended,value,rec,value_rps,mkt_filter,market,mkt_timing_20,mkt_timing_60,mkt_timing_dual
2020-06-01,100000,100000,100000,100000,100000,100000,100000,,,
2020-06-02,100000,100000,100000,100000,100000,100000,99862,,,
2020-06-03,100000,100000,100000,100000,100000,100000,99786,,,
2020-06-04,100000,100000,100000,100000,100000,100000,99829,,,
2020-06-05,100000,100000,100000,100000,100000,100000,99885,,,
2020-06-08,100000,100000,100000,100000,100000,100000,99187,,,
2020-06-09,100000,100000,100000,100000,100000,100000,99364,,,
2020-06-10,100000,100000,100000,100000,100000,100000,99490,,,
2020-06-11,100000,100000,100000,100000,100000,100000,99272,,,
2020-06-12,100000,100000,100000,100000,100000,100000,99712,,,
2020-06-15,100000,100000,100000,100000,100000,100000,99282,,,
2020-06-16,100000,100000,100000,100000,100000,100000,101427,,,
2020-06-17,100000,100000,100000,100000,100000,100000,101574,,,
2020-06-18,100000,100000,100000,100000,100000,100000,101274,,,
2020-06-19,100000,100000,100000,100000,100000,100000,102353,,,
2020-06-22,100000,100000,100000,100000,100000,100000,103132,,,
2020-06-23,100000,100000,100000,100000,100000,100000,103823,,,
2020-06-24,100000,100000,100000,100000,100000,100000,103971,,,
2020-06-29,100000,100000,100000,100000,100000,100000,103753,,,
2020-06-30,100000,100000,100000,100000,100000,100000,105571,,,
2020-07-01,100000,100000,100000,100000,100000,100000,105838,,,
2020-07-02,100000,100000,100000,100000,100000,100000,106455,,,
2020-07-03,100000,100000,100000,100000,100000,100000,107000,,,
2020-07-06,100000,100000,100000,100000,100000,100000,110894,,,
2020-07-07,100000,100000,100000,100000,100000,100000,113198,,,
2020-07-08,100000,100000,100000,100000,100000,100000,115343,102078,100000,100000
2020-07-09,101098,103604,100385,102280,100385,103465,119261,104742,100000,100000
2020-07-10,101181,100740,96782,98218,96782,98788,119657,104040,100000,100000
2020-07-13,101925,102318,97371,99191,97371,99824,123538,107472,100000,100000
2020-07-14,103864,103656,96097,99923,96097,100490,122827,106993,100000,100000
2020-07-15,102864,99432,93136,96151,93136,96017,119820,104239,100000,100000
2020-07-16,100097,96722,92018,92574,92018,92500,112740,99516,100000,100000
2020-07-17,98607,97536,91490,93293,91490,93299,113218,99676,100000,100000
2020-07-20,101238,101642,93871,97245,93871,96974,115772,103107,100000,100000
2020-07-21,102657,102535,93214,98048,93214,97991,117261,103602,100000,100000
2020-07-22,107139,103039,93010,97981,93010,97895,118997,104132,100000,100000
2020-07-23,111154,102773,91838,96983,91838,97187,119241,103897,100000,100000
2020-07-24,111477,99429,89628,92831,89628,93350,113026,103897,100000,100000
2020-07-27,109866,99111,89303,92612,89303,94119,113055,103897,100000,100000
2020-07-28,110640,99631,89694,92898,89694,95383,114619,103897,100000,100000
2020-07-29,114374,102884,90750,94571,90750,97841,118491,106451,100000,100000
2020-07-30,114842,102531,90419,95340,90419,99566,118562,106455,100000,100000
2020-07-31,117691,104733,90536,96523,90536,100789,120670,107776,100000,100000
2020-08-03,121137,107983,91283,99889,91283,103454,124514,110998,100000,100000
2020-08-04,119270,107211,92414,101063,92414,103669,123449,110481,100000,100000
2020-08-05,121295,108877,91546,100063,91546,103992,124995,111630,100000,100000
2020-08-06,121492,109666,91597,100100,91597,104475,124361,111465,100000,100000
2020-08-07,122822,110149,90876,99558,90876,104351,122359,110095,100000,100000
2020-08-10,123926,112351,91482,102069,91482,105761,123107,110982,100000,100000
2020-08-11,123858,111090,91019,100260,91019,105008,121095,108965,100000,100000
2020-08-12,123939,109572,91299,100725,91299,103358,119204,108185,100000,100000
2020-08-13,123608,107599,91314,100622,91314,101551,119917,108825,100000,100000
2020-08-14,119177,107405,92195,101101,92195,100447,121103,109656,100000,100000
2020-08-17,121106,110303,94174,104261,94174,103443,123343,111763,100000,100000
2020-08-18,124001,109180,93378,102957,93378,102711,124557,112636,100000,100000
2020-08-19,121116,108228,92681,102153,92681,102140,121748,110950,100000,100000
2020-08-20,118037,106108,91909,99557,91909,99982,120122,109693,100000,100000
2020-08-21,118243,106630,92052,99482,92052,99815,121249,110442,100000,100000
2020-08-24,120864,105478,91666,98431,91666,98892,123938,111139,100000,100000
2020-08-25,121137,103549,91488,97278,91488,97065,124264,111188,100044,100044
2020-08-26,117025,101553,91169,95777,91169,95245,121281,111188,97968,100044
2020-08-27,118282,103315,91053,96156,91053,94860,122565,111188,99119,100044
2020-08-28,117137,102118,92023,96338,92023,95884,124096,112201,100022,100956
2020-08-31,117476,101970,91576,96459,91576,95429,124373,112378,100180,101115
2020-09-01,118781,103709,91384,96978,91384,95231,125122,113023,100755,101695
2020-09-02,121371,104380,90718,96841,90718,94533,125486,113608,101277,102222
2020-09-03,120391,102762,90569,95364,90569,92590,124536,112587,100366,101303
2020-09-04,120404,103469,90096,94071,90096,92461,124145,112738,100501,101439
