,baseline,extended,value,rec,value_rps,mkt_filter,market,mkt_timing_20,mkt_timing_60,mkt_timing_dual
2026-07-06,94976,84250,90845,95860,90845,89276,106362,111259,100356,100000
2026-07-07,95768,82395,89922,94240,89922,87350,104132,111259,100356,100000
2026-07-08,95547,81601,90421,93992,90421,87712,102161,111259,100356,100000
2026-07-09,95799,80457,89704,92934,89704,87017,105380,111259,100356,100000
2026-07-10,96410,80796,89996,92856,89996,87289,103367,111259,100356,100000
2026-07-13,96561,80397,90936,94083,90936,88174,98148,111259,100356,100000
2026-07-14,97273,81369,91808,95075,91808,89005,100150,111259,100356,100000
2026-07-15,100035,81850,93273,95952,93273,90437,98374,111259,100356,100000
2026-07-16,97524,80985,92488,94892,92488,89707,95975,111259,100356,100000
2026-07-17,94100,80276,92577,94778,92577,89800,88761,111259,100356,100000
2026-07-20,94346,82309,94054,96241,94054,91219,85437,111259,100356,100000
2026-07-21,94013,80706,92781,94742,92781,90005,89788,111259,100356,100000
2026-07-22,95879,81078,93351,95199,93351,90541,88336,111259,100356,100000
2026-07-23,95329,81421,93797,95803,93797,90973,88360,111259,100356,100000
2026-07-24,91030,79867,93259,94542,93259,90459,86523,111259,100356,100000
2026-07-27,94496,80611,93562,95195,93562,90758,89304,111259,100356,100000
2026-07-28,94952,80560,93882,95147,93882,91083,85746,111259,100356,100000
2026-07-29,93224,81520,94802,95802,94802,91951,85794,111259,100356,100000
2026-07-30,91287,82719,96605,97422,96605,93641,82200,111259,100356,100000
2026-07-31,90367,82008,96269,96597,96269,93341,85088,111259,100356,100000
